"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Colbert",1988,342,251,32,48,11,0,0,200,118,19,0,0,0,342,0,0
"Alabama","Etowah",1988,58,48,10,0,0,0,0,63,56,33,0,0,0,0,0,58
"Alabama","Jackson",1988,298,203,76,17,2,0,0,200,90,29,0,0,0,298,0,0
"Alabama","Jefferson",1988,366,183,124,34,19,6,0,223,129,51,108,0,199,0,0,59
"Alabama","Lauderdale",1988,341,265,47,24,5,0,0,177,92,13,0,0,0,341,0,0
"Alabama","Madison",1988,366,243,67,34,20,2,0,205,122,40,100,0,237,0,0,29
"Alabama","Mobile",1988,361,166,114,71,10,0,0,200,121,54,0,0,144,202,0,15
"Alabama","Montgomery",1988,268,157,60,39,12,0,0,187,129,46,0,0,248,0,0,20
"Alabama","Shelby",1988,272,146,61,41,19,5,0,209,144,47,0,0,242,3,0,27
"Alaska","Anchorage ",1988,365,221,132,12,0,0,0,148,83,44,170,0,0,0,0,195
"Alaska","Denali ",1988,337,336,1,0,0,0,0,51,39,31,0,0,334,0,3,0
"Alaska","Fairbanks North Star ",1988,270,181,73,11,5,0,0,200,83,36,163,0,0,0,0,107
"Alaska","Juneau ",1988,354,334,19,1,0,0,0,104,42,13,0,0,0,0,0,354
"Alaska","Kenai Peninsula ",1988,79,79,0,0,0,0,0,14,6,1,0,0,0,56,0,23
"Alaska","Sitka ",1988,68,66,1,1,0,0,0,148,20,11,0,0,0,32,0,36
"Arizona","Apache",1988,361,318,43,0,0,0,0,84,51,40,0,1,353,7,0,0
"Arizona","Cochise",1988,131,91,36,2,2,0,0,174,77,29,0,0,0,0,65,66
"Arizona","Coconino",1988,187,185,2,0,0,0,0,51,28,16,77,0,0,0,70,40
"Arizona","Gila",1988,366,95,89,129,53,0,0,200,161,99,0,0,0,354,4,8
"Arizona","Graham",1988,53,41,12,0,0,0,0,75,59,36,0,0,0,0,0,53
"Arizona","Maricopa",1988,366,88,197,73,8,0,0,174,122,72,135,0,222,0,0,9
"Arizona","Navajo",1988,119,116,3,0,0,0,0,76,33,18,0,0,0,0,74,45
"Arizona","Pima",1988,366,157,187,20,2,0,0,176,84,53,85,56,162,1,0,62
